City,County,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,medianHome,medianMortgage,medianNonMort,medianRent,retail,medianIncome,perCapIncome,householdSize,commuteTime,popdensity,population
Los Banos,Merced,227,133,62490,99468,15240071,411,40309,0.019,0.006,0.03,0.001,0.045,0.674,0.224,0.699,0.256,0.531,0.505,0.694,0.112,0.16,0.229,179500,1405,402,1082,7360,45751,17554,3.45,41.7,3768.068068,37643
Los Gatos,Santa Clara,233,147,86099,121582,21040499,690,126765,0.013,0.002,0.14,0.001,0.044,0.064,0.737,0.079,0.192,0.655,0.201,0.97,0.655,0.054,0.052,1338400,NA,892,1910,NA,127278,74855,2.48,28.1,2756.768953,30545
Lynwood,Los Angeles,201,120,54995,108847,15356446,215,26817,0.086,0.007,0.008,0.002,0.015,0.86,0.022,0.953,0.392,0.42,0.836,0.531,0.06,0.249,0.243,312100,1770,430,1056,4557,43848,13629,4.47,30.6,14708.05785,71187
Madera,Madera,658,229,58068,87760,24514365,386,31298,0.032,0.007,0.022,0.001,0.037,0.756,0.146,0.795,0.317,0.468,0.631,0.598,0.084,0.162,0.263,165600,1237,370,948,8880,40034,15131,3.71,23.9,4081.317289,64444
Malibu,Los Angeles,157,53,77026,105386,7778434,605,105542,0.015,0,0.036,0.001,0.048,0.074,0.826,0.089,0.17,0.706,0.149,0.972,0.614,0.083,0.105,1802800,NA,1216,2679,14887,116904,104155,2.28,34.8,650.7832239,12879
Mammoth Lakes,Mono,148,64,75863,102728,7889401,981,32393,0.007,0.005,0.017,0,0.027,0.349,0.595,0.361,0.23,0.396,0.342,0.808,0.326,0.299,0.07,334000,2132,644,1181,13590,60899,30939,2.82,12.8,321.4314435,7994
Manhattan Beach,Los Angeles,552,247,97969,126488,43565451,1224,125086,0.01,0.007,0.095,0,0.062,0.081,0.745,0.098,0.11,0.685,0.148,0.982,0.75,0.03,0.037,1537200,NA,811,2232,21605,144868,87206,2.57,29.9,9071.319797,35741
Manteca,San Joaquin,680,319,83361,120534,49025212,666,45092,0.038,0.008,0.074,0.005,0.065,0.39,0.421,0.436,0.168,0.579,0.306,0.824,0.15,0.098,0.116,274200,1811,458,1251,11595,64502,24532,3.15,34.5,4337.732657,76908
Marina,Monterey,143,71,110091,136554,10865323,521,41810,0.061,0.008,0.171,0.027,0.123,0.247,0.362,0.316,0.231,0.407,0.361,0.834,0.303,0.137,0.171,392500,2138,460,1198,10317,57135,26525,2.65,24,2442.342342,21688
Martinez,Contra Costa,270,94,93006,123801,15844515,422,68505,0.024,0.006,0.073,0.004,0.057,0.159,0.676,0.189,0.114,0.663,0.153,0.942,0.376,0.052,0.055,462300,2279,530,1550,8449,93874,43405,2.51,31,3154.080791,38259
Marysville,Yuba,113,44,60436,80220,4546098,373,33316,0.043,0.009,0.043,0.001,0.071,0.279,0.554,0.331,0.112,0.36,0.195,0.824,0.156,0.14,0.251,145200,1283,377,881,19159,41679,18806,2.57,23.2,3540.17341,12249
Maywood,Los Angeles,20,13,45760,57431,1143555,41,25340,0.004,0.001,0.001,0,0.009,0.97,0.015,0.975,0.461,0.253,0.929,0.423,0.054,0.277,0.269,325600,1689,345,980,3871,36696,12726,4.21,30,23417.79661,27633
McFarland,Kern,68,34,51352,70911,3621650,270,26615,0.011,0.002,0,0.001,0.022,0.931,0.034,0.944,0.362,0.568,0.877,0.457,0.028,0.21,0.377,136700,1045,271,849,2939,33687,9668,4.24,20.5,5447.191011,14544
Mendota,Fresno,74,28,50188,60736,2589314,227,25215,0.004,0.003,0,0,0.021,0.962,0.01,0.969,0.524,0.342,0.866,0.291,0.01,0.275,0.495,114500,1070,193,725,4241,26094,8682,4.03,30.9,3481.097561,11418
Menifee,Riverside,107,53,75019,98588,6417720,75,44782,0.056,0.005,0.054,0.003,0.05,0.357,0.476,0.418,0.155,0.736,0.25,0.857,0.174,0.118,0.115,244700,1711,411,1337,5122,57598,24183,3.03,40.3,1905.121584,88531
Menlo Park,San Mateo,526,260,88065,123420,36910532,1107,124135,0.054,0.002,0.125,0.015,0.047,0.157,0.601,0.213,0.241,0.579,0.311,0.932,0.706,0.045,0.081,1581700,NA,1004,1934,13328,126045,74162,2.73,23.9,3461.491318,33888
Merced,Merced,576,370,69959,98101,44454421,545,33141,0.055,0.007,0.114,0,0.048,0.494,0.283,0.556,0.214,0.408,0.453,0.747,0.176,0.126,0.306,170500,1330,417,855,11704,39307,18415,3.16,23.2,3541.766724,82594
Millbrae,San Mateo,150,54,77558,102218,8303592,368,65045,0.006,0.004,0.478,0.002,0.043,0.14,0.328,0.15,0.38,0.618,0.503,0.914,0.464,0.065,0.053,1037400,3430,664,1936,8334,98533,46539,2.75,28.9,6972.615385,22661
Mill Valley,Marin,440,122,82493,106602,18978264,1325,143451,0.003,0.003,0.036,0,0.05,0.078,0.83,0.084,0.124,0.688,0.137,0.984,0.787,0.024,0.035,1201600,3993,919,1968,13749,149336,99322,2.36,31.6,3014.705882,14350
Milpitas,Santa Clara,614,287,126812,187110,61691916,839,65883,0.021,0.004,0.66,0.006,0.04,0.151,0.119,0.176,0.528,0.641,0.683,0.871,0.453,0.071,0.086,635300,2770,611,1995,16464,103623,37051,3.33,26.4,5704.782929,77528
Mission Viejo,Orange,300,117,80176,108647,15811865,164,72665,0.016,0.002,0.099,0.002,0.051,0.167,0.664,0.185,0.197,0.771,0.236,0.943,0.472,0.073,0.047,608100,2573,499,1997,18119,104886,44684,2.81,27.7,5433.821871,96396
Modesto,Stanislaus,1717,906,70287,92280,117972413,565,41963,0.038,0.007,0.072,0.01,0.047,0.375,0.451,0.42,0.176,0.538,0.343,0.815,0.184,0.128,0.182,208000,1529,448,1034,11534,50996,24006,2.89,26.9,5754.6786,212175
Monrovia,Los Angeles,410,195,93080,121344,30185866,813,46106,0.07,0.003,0.134,0.002,0.05,0.365,0.376,0.438,0.248,0.467,0.396,0.894,0.369,0.141,0.088,583300,2422,549,1318,21091,67167,35161,2.77,31,2727.847171,37126
Montclair,San Bernardino,357,158,74952,102889,21018097,548,31559,0.033,0.005,0.097,0.003,0.031,0.685,0.146,0.723,0.333,0.574,0.62,0.709,0.143,0.192,0.178,281100,1631,357,1170,26739,50374,18359,3.62,31,7055.072464,38944
Montebello,Los Angeles,609,325,58957,80705,44598288,703,30683,0.013,0.011,0.128,0.001,0.024,0.741,0.083,0.765,0.367,0.449,0.699,0.716,0.19,0.225,0.145,413900,1936,426,1157,12921,47518,21217,3.18,34.8,7603.241297,63335
Monterey,Monterey,983,384,85991,122865,59656948,2095,51745,0.036,0.005,0.07,0.003,0.06,0.177,0.65,0.218,0.168,0.35,0.235,0.942,0.495,0.123,0.086,664300,2416,581,1531,16017,68511,39462,2.19,15.4,3359.386068,28454
Monterey Park,Los Angeles,558,246,92421,129046,37392014,612,36382,0.004,0.006,0.642,0.005,0.025,0.28,0.039,0.29,0.539,0.522,0.76,0.789,0.309,0.152,0.166,532700,2263,460,1244,6558,54008,26419,3.1,30.1,7962.842243,61075
Moorpark,Ventura,111,44,78017,103722,6677599,187,58908,0.011,0.004,0.074,0.006,0.032,0.3,0.574,0.315,0.177,0.734,0.27,0.884,0.397,0.089,0.059,567300,2637,631,1797,6478,100457,39247,3.29,26.8,2899.920509,36481
Moraga,Contra Costa,49,33,117849,129958,4547792,267,146989,0.028,0.001,0.171,0,0.057,0.085,0.659,0.114,0.144,0.828,0.211,0.988,0.745,0.047,0.046,971700,3395,818,1909,6902,136336,63143,2.68,32.5,1846.871686,17416
Moreno Valley,Riverside,533,241,73313,98196,32375270,160,35015,0.176,0.006,0.058,0.007,0.031,0.552,0.17,0.734,0.243,0.596,0.503,0.756,0.152,0.192,0.186,231400,1544,425,1298,8503,56456,18796,3.91,34.3,4008.172421,205499
Morgan Hill,Santa Clara,471,162,113896,147579,29684311,709,74423,0.023,0.005,0.097,0.002,0.066,0.329,0.479,0.357,0.181,0.7,0.292,0.899,0.401,0.083,0.086,678900,2975,719,1700,NA,100900,44484,2.98,33.7,3428.18323,44155
Morro Bay,San Luis Obispo,315,81,74877,99137,11100740,1055,41475,0.014,0.01,0.021,0,0.027,0.139,0.79,0.163,0.107,0.542,0.147,0.917,0.38,0.168,0.103,495900,2079,478,1337,11147,53348,33352,2.1,21.1,2009.056604,10648
Mountain View,Santa Clara,1018,478,119235,168082,99141918,1257,101527,0.018,0.004,0.278,0.005,0.048,0.2,0.447,0.222,0.389,0.408,0.454,0.927,0.657,0.083,0.087,973000,3243,766,1912,15956,109249,61668,2.39,22.5,6703.916667,80447
Murrieta,Riverside,393,239,110612,152302,41116830,378,53105,0.063,0.006,0.085,0.005,0.078,0.268,0.494,0.337,0.144,0.666,0.224,0.922,0.287,0.114,0.093,339800,2189,547,1548,10137,76149,29275,3.31,35.6,3325.610482,111674
Napa,Napa,703,341,95495,134086,67291278,845,44418,0.008,0.012,0.027,0.001,0.03,0.39,0.532,0.41,0.227,0.553,0.368,0.821,0.3,0.12,0.087,476800,2221,563,1428,14403,71087,34070,2.76,21.6,4507.623318,80416
National City,San Diego,460,278,76566,104858,36925990,611,30057,0.05,0.003,0.186,0.004,0.029,0.632,0.096,0.685,0.413,0.319,0.702,0.724,0.142,0.25,0.241,317300,1698,326,1040,23505,42178,17878,3.54,26.4,8399.313187,61147
Newark,Alameda,553,128,114206,142633,24417507,546,52697,0.047,0.005,0.288,0.008,0.072,0.327,0.253,0.379,0.344,0.699,0.533,0.886,0.303,0.084,0.069,547800,2354,460,1744,15686,91965,34318,3.29,29.6,3300.432277,45810
Newman,Stanislaus,52,37,55231,65925,3163703,292,34359,0.022,0.001,0.019,0.001,0.02,0.681,0.256,0.704,0.264,0.607,0.574,0.757,0.094,0.242,0.186,159600,1255,382,1021,3807,51455,18451,3.36,33.4,5296.666667,11123
Newport Beach,Orange,1208,690,111659,151512,126269546,1454,93887,0.006,0.002,0.076,0.002,0.034,0.083,0.796,0.091,0.148,0.559,0.17,0.977,0.657,0.072,0.066,1584900,NA,1091,2058,33139,115845,84134,2.29,24.6,3640.823184,86688
Norco,Riverside,173,42,61794,92392,5562051,207,53972,0.041,0.004,0.035,0.003,0.053,0.307,0.558,0.352,0.132,0.792,0.26,0.827,0.175,0.105,0.079,445700,2403,574,1811,12317,87067,30612,3.32,38.8,1913.610315,26714
Norwalk,Los Angeles,577,262,61549,86288,28560642,268,36103,0.042,0.007,0.13,0.003,0.028,0.68,0.11,0.729,0.345,0.63,0.668,0.734,0.16,0.187,0.148,350600,1848,378,1384,10364,61050,20046,3.82,30,10934.91246,106178
Novato,Marin,435,155,92291,115901,23786453,434,62470,0.022,0.002,0.066,0.001,0.054,0.188,0.667,0.212,0.195,0.666,0.248,0.937,0.459,0.075,0.074,625900,2765,631,1764,15652,83895,49236,2.49,31.8,2040.962099,56004
Oakdale,Stanislaus,140,60,67569,104489,8004469,367,42135,0.014,0.002,0.018,0,0.037,0.288,0.642,0.304,0.086,0.58,0.211,0.877,0.164,0.082,0.161,251100,1708,460,937,12993,51654,24483,2.83,27.9,3729.586777,22564
Oakland,Alameda,5483,2928,97848,147578,550158923,1335,47874,0.241,0.008,0.156,0.006,0.064,0.26,0.266,0.509,0.273,0.396,0.403,0.805,0.397,0.138,0.2,500500,2394,588,1189,7559,57778,34984,2.55,31,7528.320488,420005
Oakley,Contra Costa,121,48,97762,115140,7824875,200,55625,0.079,0.014,0.074,0.004,0.071,0.345,0.412,0.438,0.186,0.742,0.32,0.854,0.169,0.107,0.086,324000,2041,579,1498,3348,82584,28288,3.39,40.7,2562.902208,40622
Oceanside,San Diego,1197,1019,67542,94137,108939307,626,41836,0.048,0.006,0.069,0.009,0.054,0.344,0.47,0.398,0.195,0.564,0.308,0.861,0.285,0.14,0.137,384100,2115,506,1454,9795,58949,28452,2.81,28,4255.736114,175464
Ojai,Ventura,124,22,63015,81420,3096415,408,59297,0.005,0.006,0.018,0,0.034,0.161,0.776,0.172,0.128,0.536,0.148,0.901,0.469,0.184,0.109,626800,2440,579,1339,15887,64618,38215,2.54,24.7,1727.790433,7585
Ontario,San Bernardino,1461,974,87575,118372,149863497,884,33384,0.059,0.007,0.054,0.004,0.042,0.681,0.153,0.747,0.29,0.53,0.59,0.712,0.149,0.181,0.17,293000,1702,395,1296,28906,54896,19761,3.51,30.6,3468.402082,173212
Orange,Orange,881,535,104940,139871,90569128,647,47038,0.015,0.005,0.11,0.003,0.03,0.386,0.452,0.406,0.24,0.571,0.406,0.84,0.34,0.147,0.128,565800,2479,483,1581,15442,79192,31958,3.13,25.4,5665.483871,140504
Orange Cove,Fresno,47,20,60193,75684,2465006,257,29063,0.01,0.01,0.002,0.004,0.006,0.932,0.037,0.952,0.366,0.417,0.816,0.459,0.044,0.203,0.516,118800,1058,377,759,1456,27782,9146,4.37,25.9,5018.848168,9586
Orinda,Contra Costa,73,40,65014,93687,4319958,228,164023,0.012,0.005,0.129,0.001,0.053,0.057,0.743,0.074,0.164,0.873,0.169,0.986,0.804,0.029,0.026,1125000,NA,915,2337,3912,178704,94377,2.74,32.5,1535.488959,19470
Orland,Glenn,81,30,57789,87851,3110314,414,30931,0.002,0.005,0.032,0.002,0.005,0.5,0.454,0.507,0.211,0.527,0.501,0.725,0.121,0.118,0.26,196200,1285,365,752,13534,39559,16571,2.94,26.1,2554.545455,7587
Oroville,Butte,138,96,63531,80218,9457128,500,36000,0.041,0.012,0.095,0.004,0.114,0.124,0.611,0.177,0.075,0.473,0.161,0.834,0.097,0.107,0.256,152900,1169,323,773,25441,35457,17750,2.75,19.6,1465.204003,19033
Oxnard,Ventura,1709,712,84276,112493,126784148,619,31397,0.026,0.013,0.074,0.002,0.03,0.719,0.136,0.758,0.367,0.535,0.686,0.661,0.163,0.223,0.163,362900,2071,461,1396,11724,61709,21102,4,24.8,7731.72183,207906
Pacifica,San Mateo,343,133,108588,137454,22025974,567,66615,0.02,0.004,0.184,0.013,0.085,0.177,0.517,0.201,0.199,0.681,0.26,0.944,0.43,0.059,0.055,680500,2784,494,1937,5088,103545,46043,2.78,30.2,3085.466035,39062
Pacific Grove,Monterey,129,62,84613,96791,8119232,522,63260,0.015,0.004,0.054,0,0.039,0.116,0.773,0.135,0.119,0.478,0.17,0.955,0.533,0.104,0.067,700500,2817,483,1478,8891,81304,49287,2.24,19.1,5443.902439,15624
Palmdale,Los Angeles,634,155,73249,116569,24992604,159,39995,0.123,0.007,0.042,0.002,0.05,0.565,0.211,0.695,0.261,0.634,0.411,0.74,0.15,0.152,0.206,207400,1598,494,1174,10003,52801,19908,3.6,41.8,1485.050963,157356
Palm Desert,Riverside,126,103,95082,144352,17105377,335,42388,0.017,0.003,0.043,0.001,0.038,0.258,0.64,0.278,0.208,0.601,0.264,0.917,0.348,0.139,0.124,316300,1893,744,1156,46169,53701,38495,2.14,19.7,1948.190974,52231
Palm Springs,Riverside,463,365,93264,115678,53270824,1140,42129,0.045,0.007,0.047,0.004,0.031,0.255,0.61,0.307,0.199,0.587,0.284,0.884,0.353,0.188,0.194,303100,1799,661,973,15970,46059,37343,1.96,21,506.6829579,47689
Palo Alto,Santa Clara,1546,873,108409,157377,163869140,2458,133424,0.01,0.002,0.309,0.001,0.046,0.071,0.561,0.083,0.345,0.553,0.405,0.974,0.8,0.039,0.059,1702100,NA,832,2283,37083,137043,78721,2.51,23.6,2806.700168,67024
Palos Verdes Estates,Los Angeles,80,57,91132,118063,7568704,557,154849,0.014,0.002,0.204,0.001,0.052,0.067,0.661,0.083,0.19,0.872,0.259,0.984,0.725,0.049,0.055,1609500,NA,847,2809,1903,200766,87550,2.82,35.2,2848.218029,13586
Paradise,Butte,96,41,71106,85058,5189318,196,43025,0.001,0.015,0.012,0,0.044,0.069,0.859,0.085,0.027,0.705,0.05,0.907,0.238,0.118,0.141,200900,1291,397,976,7278,47533,26914,2.39,23.4,1450.081922,26551
Paramount,Los Angeles,476,88,58191,80872,11130975,202,30797,0.093,0.007,0.025,0.007,0.026,0.795,0.047,0.895,0.381,0.388,0.775,0.589,0.091,0.214,0.221,283400,1628,391,1204,5978,46364,15464,3.9,28.4,11608.66808,54909
Parlier,Fresno,65,27,55126,67270,2328465,155,25972,0,0.003,0.006,0,0.013,0.96,0.019,0.963,0.402,0.438,0.83,0.438,0.03,0.235,0.439,123300,1120,345,740,2197,30556,10305,4.03,24.4,6931.050228,15179
Pasadena,Los Angeles,2567,1485,90275,127580,237950175,1696,56303,0.105,0.003,0.158,0.002,0.039,0.329,0.364,0.437,0.298,0.429,0.442,0.876,0.509,0.137,0.158,649800,2602,693,1421,19495,73029,43097,2.48,27.6,6184.545059,142059
Patterson,Stanislaus,241,79,58168,92422,10000066,471,46377,0.079,0.007,0.041,0.017,0.052,0.585,0.219,0.671,0.224,0.6,0.495,0.744,0.094,0.132,0.201,216500,1693,441,1304,5599,54195,19527,3.7,38.3,3659.831933,21776
Perris,Riverside,106,65,69242,87071,8333452,113,31650,0.108,0.007,0.038,0,0.025,0.713,0.108,0.828,0.295,0.6,0.611,0.654,0.089,0.205,0.236,211400,1535,432,1280,8543,51315,14765,4.47,37,2431.697993,76331
Petaluma,Sonoma,113,57,81523,111388,6873058,115,56912,0.01,0.003,0.045,0.002,0.042,0.212,0.687,0.225,0.176,0.654,0.246,0.891,0.374,0.087,0.086,498200,2312,571,1548,14856,80907,38240,2.67,29.9,4209.318498,60530
Pico Rivera,Los Angeles,359,120,65703,84848,14041011,220,35207,0.011,0.009,0.027,0.001,0.021,0.878,0.053,0.898,0.322,0.669,0.712,0.687,0.118,0.21,0.124,351300,1803,346,1229,23303,57203,19973,3.77,30.6,7666.86747,63635
Piedmont,Alameda,415,84,121503,171487,16266749,1452,145714,0.013,0.002,0.176,0.001,0.076,0.055,0.676,0.07,0.134,0.886,0.146,0.99,0.844,0.019,0.05,1572700,NA,1490,2636,1332,202083,98039,2.85,28,6757.738095,11353
Pinole,Contra Costa,156,88,95940,127065,12666924,665,53052,0.08,0.01,0.213,0.001,0.112,0.249,0.335,0.339,0.25,0.696,0.355,0.892,0.308,0.08,0.075,387500,2102,492,1558,17615,74124,34133,2.78,35.8,3626.503759,19293
Pismo Beach,San Luis Obispo,183,72,79340,96787,9329098,1168,58790,0.02,0.002,0.016,0,0.03,0.069,0.863,0.091,0.056,0.579,0.101,0.959,0.422,0.095,0.073,633300,2683,573,1431,20889,75978,47330,1.97,21.9,2277.222222,8198
Pittsburg,Contra Costa,443,238,90348,128396,36153000,531,46489,0.167,0.004,0.167,0.014,0.078,0.389,0.181,0.56,0.322,0.554,0.502,0.79,0.198,0.13,0.154,280900,1874,463,1439,7986,63950,24767,3.27,41.2,4104.471545,70679
Placentia,Orange,248,95,90074,112891,15393028,295,49645,0.011,0.001,0.167,0.001,0.039,0.363,0.418,0.375,0.253,0.655,0.389,0.854,0.367,0.117,0.102,554500,2563,584,1590,6891,80668,32895,3.14,29,7949.467275,52228
Placerville,El Dorado,112,71,66768,87949,7582200,719,36546,0.006,0.014,0.007,0,0.022,0.16,0.792,0.18,0.087,0.533,0.148,0.889,0.238,0.118,0.212,270900,1717,529,1009,29441,42793,25149,2.46,24.9,1838.3821,10681
Pleasant Hill,Contra Costa,123,98,97677,133936,15415329,448,73267,0.017,0.003,0.128,0.006,0.056,0.14,0.65,0.16,0.172,0.599,0.217,0.973,0.529,0.06,0.081,584700,2480,570,1719,17956,93476,47088,2.47,32.8,4929.70297,34853
Pleasanton,Alameda,1012,411,119380,171648,83187252,1079,104337,0.021,0.001,0.293,0.005,0.046,0.096,0.539,0.118,0.269,0.694,0.323,0.956,0.612,0.039,0.041,828900,3182,703,1949,22979,130170,55764,2.82,33.1,3412.277063,82270
Pomona,Los Angeles,790,452,81090,103820,63102108,415,31606,0.064,0.014,0.089,0.003,0.039,0.677,0.114,0.755,0.337,0.522,0.649,0.682,0.173,0.211,0.215,310100,1746,446,1183,5608,50360,17936,3.77,29.9,6644.618736,152494
Porterville,Tulare,686,255,54095,78873,26455694,452,31369,0.008,0.009,0.045,0.003,0.031,0.642,0.262,0.659,0.218,0.534,0.552,0.668,0.103,0.163,0.317,157900,1253,349,823,9335,39763,16319,3.4,22.4,3349.119818,58978
Port Hueneme,Ventura,165,79,76119,102755,10881763,491,34725,0.049,0.008,0.048,0.009,0.095,0.537,0.256,0.594,0.217,0.469,0.506,0.8,0.182,0.167,0.144,318200,1961,509,1508,4111,59592,23869,3.16,23.5,5006.067416,22277
Poway,San Diego,388,171,74620,113599,25793652,519,67183,0.016,0.012,0.115,0.001,0.054,0.176,0.626,0.204,0.182,0.736,0.241,0.93,0.458,0.055,0.059,583100,2663,649,1497,19766,98859,41399,3.1,25.8,1281.397134,50077
Rancho Cordova,Sacramento,112,62,76066,98197,7723356,111,38705,0.093,0.006,0.111,0.014,0.079,0.205,0.492,0.304,0.243,0.548,0.343,0.888,0.259,0.129,0.169,223300,1629,438,982,13867,53360,25032,2.82,25.1,2158.340794,72326
Rancho Cucamonga,San Bernardino,1057,430,71283,95847,58610663,338,52762,0.092,0.007,0.12,0.003,0.052,0.359,0.367,0.458,0.209,0.613,0.335,0.911,0.332,0.1,0.088,414200,2250,572,1561,11862,79973,32237,3.04,32.3,4429.962359,176534
Rancho Mirage,Riverside,126,75,81193,104389,9845129,550,86400,0.013,0.003,0.035,0.003,0.015,0.087,0.844,0.103,0.142,0.791,0.137,0.961,0.446,0.099,0.101,471300,2436,1003,1245,20125,66083,62760,1.87,22.5,744.1308793,18194
Rancho Palos Verdes,Los Angeles,149,53,74854,104030,7578822,178,100888,0.022,0,0.274,0.009,0.058,0.099,0.538,0.121,0.272,0.798,0.362,0.97,0.652,0.047,0.04,1003300,3370,686,2348,3028,120668,57464,2.66,32.7,3150.334076,42435
Rancho Santa Margarita,Orange,41,22,82394,99188,3092393,63,70136,0.02,0.002,0.11,0.001,0.04,0.188,0.64,0.21,0.168,0.713,0.227,0.956,0.491,0.061,0.045,584000,2750,686,1741,11060,104556,44868,2.87,29.6,3778.472222,48969
Red Bluff,Tehama,206,77,56821,76015,7624717,542,28546,0.006,0.034,0.027,0,0.032,0.162,0.739,0.202,0.062,0.419,0.114,0.863,0.122,0.15,0.246,139800,1044,294,770,18306,30311,16613,2.52,19.9,1872.751323,14158
Redding,Shasta,1143,745,73240,115410,99248416,1086,37556,0.014,0.021,0.047,0,0.046,0.093,0.778,0.128,0.058,0.52,0.098,0.911,0.238,0.135,0.181,232000,1540,483,987,21758,44573,25609,2.49,16.6,1539.111484,91808
Redlands,San Bernardino,651,371,77996,103655,54910656,779,48299,0.056,0.007,0.075,0.005,0.052,0.296,0.51,0.359,0.14,0.579,0.249,0.901,0.378,0.103,0.141,326800,2011,506,1177,31768,66514,31721,2.82,23,1973.097149,71288
Redondo Beach,Los Angeles,850,360,100618,128949,62137997,918,83649,0.03,0.004,0.124,0.001,0.062,0.168,0.611,0.202,0.193,0.496,0.235,0.962,0.571,0.065,0.05,775300,3119,624,1800,12848,103782,54789,2.42,28.4,10946.29032,67867
Redwood City,San Mateo,970,503,120086,162786,99663639,1206,67208,0.023,0.005,0.128,0.007,0.042,0.377,0.419,0.405,0.327,0.507,0.465,0.852,0.443,0.108,0.091,924300,3262,662,1807,20968,90461,46318,2.75,24.8,4374.356334,84950
Reedley,Fresno,293,89,53301,76464,11084806,438,26573,0.006,0.003,0.035,0,0.033,0.738,0.184,0.747,0.316,0.602,0.645,0.622,0.147,0.218,0.266,170300,1302,391,900,5902,43907,17002,3.49,22.7,5035.826772,25582
Rialto,San Bernardino,500,266,102192,142140,48598675,474,32487,0.12,0.006,0.023,0.001,0.037,0.715,0.098,0.841,0.282,0.631,0.6,0.682,0.105,0.187,0.188,236100,1553,445,1110,5326,52347,17092,3.98,31.3,4622.550336,103314
Richmond,Contra Costa,950,655,111313,153999,121647554,1123,40434,0.218,0.003,0.149,0.005,0.059,0.394,0.172,0.615,0.342,0.496,0.519,0.775,0.263,0.167,0.166,330200,1931,481,1242,10257,57107,26965,2.89,34,3651.912205,109813
Ridgecrest,Kern,172,87,65454,75915,8316670,290,44081,0.055,0.012,0.048,0.005,0.053,0.188,0.639,0.255,0.106,0.61,0.194,0.894,0.279,0.091,0.16,166500,1286,385,859,9616,59780,28095,2.57,14.3,1381.84882,28701
Rio Vista,Solano,68,37,77896,102484,4746172,589,54122,0.066,0.003,0.091,0,0.016,0.078,0.746,0.147,0.112,0.77,0.14,0.919,0.244,0.165,0.106,269200,1603,442,1349,8511,59050,35709,2.03,38.6,1291.629297,8641
Ripon,San Joaquin,163,76,61108,85797,7973352,532,58145,0.006,0.007,0.024,0,0.057,0.239,0.668,0.252,0.093,0.69,0.163,0.908,0.26,0.073,0.103,352500,2108,503,1251,13889,79354,33686,2.94,28.5,2912.052731,15463
Riverbank,Stanislaus,98,45,54469,73685,3817543,160,39786,0.009,0.008,0.041,0.007,0.05,0.547,0.339,0.564,0.25,0.664,0.509,0.748,0.141,0.114,0.11,219700,1499,421,1044,9988,61870,22257,3.36,28.7,5963.080685,24389
Riverside,Riverside,2688,1942,88653,121914,280898812,881,36947,0.058,0.008,0.067,0.003,0.049,0.505,0.31,0.571,0.224,0.545,0.416,0.79,0.226,0.163,0.178,286600,1770,440,1194,13158,58979,23061,3.34,29.9,4001.996549,324722
Rocklin,Placer,418,198,93692,122415,30306224,500,67208,0.019,0.006,0.086,0.001,0.061,0.126,0.701,0.151,0.11,0.657,0.157,0.96,0.41,0.075,0.085,381000,2254,628,1391,10436,84121,37295,2.8,25.9,3213.254862,62787
Rohnert Park,Sonoma,355,141,81425,99921,19753275,471,46390,0.02,0.005,0.058,0.002,0.061,0.229,0.624,0.254,0.148,0.523,0.235,0.889,0.257,0.12,0.155,341000,1890,588,1407,15463,60333,27821,2.64,26,6088.857143,42622
Rolling Hills,Los Angeles,7,4,99912,119295,620856,352,155417,0.022,0.003,0.301,0,0.055,0.098,0.521,0.123,0.256,0.925,0.33,0.98,0.662,0.064,0.045,1096400,3994,881,2945,18174,129728,65277,2.73,31.1,2305.602241,8231
Rolling Hills Estates,Los Angeles,36,17,85950,106895,2304823,280,115500,0.022,0.003,0.301,0,0.055,0.098,0.521,0.123,0.256,0.925,0.33,0.98,0.662,0.064,0.045,1096400,3994,881,2945,18174,129728,65277,2.73,31.1,2305.602241,8231
Rosemead,Los Angeles,199,49,67110,98921,6548952,120,30980,0.002,0.006,0.592,0.002,0.015,0.342,0.042,0.35,0.556,0.47,0.836,0.656,0.163,0.186,0.206,455100,2064,422,1206,8474,45510,17839,3.67,28.7,10562.0155,54500
Roseville,Placer,2127,1048,93797,132984,162885724,1269,59940,0.018,0.004,0.094,0.002,0.054,0.146,0.682,0.168,0.13,0.645,0.177,0.944,0.377,0.08,0.086,355900,2071,556,1359,33405,78446,36345,2.7,25.8,3662.921038,132671
Sacramento,Sacramento,5868,3062,79814,106135,403426969,832,39254,0.134,0.007,0.179,0.015,0.064,0.274,0.327,0.415,0.224,0.468,0.375,0.837,0.307,0.126,0.214,259400,1657,445,1057,9176,52071,27146,2.65,24.9,5057.536765,495234
Salinas,Monterey,822,456,101904,138131,79132253,507,30977,0.015,0.008,0.064,0.001,0.026,0.748,0.138,0.771,0.379,0.432,0.701,0.595,0.122,0.196,0.189,303800,1842,424,1177,12482,52338,18347,3.8,23.3,6782.484901,157218
San Anselmo,Marin,102,33,70892,93062,3520903,278,96658,0.008,0.011,0.022,0,0.036,0.057,0.866,0.076,0.073,0.733,0.103,0.972,0.688,0.053,0.042,914400,3402,756,1638,9706,107818,62456,2.38,35.5,4701.119403,12599
